Fail Time,Speed,Brake,Gas,Steering,X-Position,Z-Position,Out/At Intersection,Traffic Light
,8.20E-06,38.43137,0,0,-225.8,-283.9,out of intersection,Green
,0.7948427,0,0,0,-225.7,-283.7,out of intersection,Green
,2.204383,0,34.11765,0,-225.3,-283.1,out of intersection,Green
,9.668026,0,18.43137,0.005135136,-223.7,-280.6,out of intersection,Green
,16.28442,0,62.35294,0.038099,-220.4,-275.7,out of intersection,Green
,22.1111,0,100,-0.05180584,-215,-268.2,In intersection,Green
,27.84013,0,0,-0.002007402,-208.8,-259.1,In intersection,Green
,24.60495,0,0,0,-168,-85.1,out of intersection,Green
,25.2117,0,0,0,-177.1,-79.8,out of intersection,Green
,25.58671,0,0,0,-186.9,-73.6,out of intersection,Green
,28.03061,0,92.94118,0,-196.7,-66.9,out of intersection,Green
,30.50395,0,0,-0.006576347,-207,-59.7,out of intersection,Green
,22.49683,43.13726,0,-0.01859666,-216.8,-52.7,out of intersection,Green
,6.938065,61.96078,0,-0.1778351,-221.6,-49.5,In intersection,Green
,9.316228,0,20,-0.45004,-224.3,-48,In intersection,Green
,15.72108,0,0,-0.4683465,-229.9,-46.8,In intersection,Green
,21.57652,0,0,-0.5537766,-238,-49,In intersection,Green
,20.44398,0,0,0.008140213,-243.7,-56,In intersection,Green
5,29.40813,0,0,0,-258,-79.6,out of intersection,Green
,29.79192,0,100,-0.006852323,-265.5,-91.2,In intersection,Green
,30.47113,0,60,-0.057816,-272.7,-102.4,In intersection,Green
7,16.31638,0,0,0,-77.4,277.5,out of intersection,Green
,17.61653,0,0,0,-83.7,281.2,out of intersection,Green
,18.30169,0,0,0,-90.9,285.2,out of intersection,Green
,18.71159,96.47059,0,0,-98.1,289.1,out of intersection,Green
,4.686711,100,0,0,-101.3,290.9,out of intersection,Green
,1.13E-05,0,0,0,-101.4,290.9,out of intersection,Green
,6.73E-08,0,0,0,-101.4,290.9,out of intersection,Green
,2.01E-07,0,0,0,-101.4,290.9,out of intersection,Green
,1.66E-07,0,0,0,-101.4,290.9,out of intersection,Green
,5.810585,0,0,0,-102,291.2,out of intersection,Green
,13.72396,0,0,0,-106.6,293.7,out of intersection,Green
,17.21491,0,71.76471,0,-112.9,297,out of intersection,Green
,16.39837,0,0,0,-119.4,300.5,out of intersection,Green
,13.85587,0,0,0,-125.5,303.7,out of intersection,Green
,12.92726,0,0,0,-130.4,306.3,out of intersection,Green
,10.98717,0,0,0,-135.4,308.9,out of intersection,Green
,9.699042,0,0,0,-139.2,310.9,out of intersection,Green
,8.562005,0,0,0,-142.7,312.7,out of intersection,Green
,5.439301,32.15686,0,0,-145.7,314.3,In intersection,Green
,5.67E-05,99.60784,0,0,-145.9,314.4,In intersection,Green
,4.66E-07,0,0,0,-145.9,314.4,In intersection,Green
,2.00E-07,0,34.90196,0,-145.9,314.4,In intersection,Green
,6.32E-07,0,100,0,-145.9,314.4,In intersection,Green
,3.00E-07,0,0,0,-145.9,314.4,In intersection,Green
,6.66E-07,0,0,0,-145.9,314.4,In intersection,Green
,4.468019,0,50.58824,0,-146.7,314.9,In intersection,Green
,9.987705,0,0,0,-149.8,316.5,In intersection,Green
,15.30901,0,0,0,-155.4,319.5,In intersection,Green
,20.09354,0,0,0,-162.5,323.4,In intersection,Green
,18.58858,0,0,-0.02807185,-169.6,327.5,In intersection,Green
7,28.10439,0,0,0,-360.6,440.8,out of intersection,Green
,30.56016,0,0,0.05836795,-372.9,448.2,out of intersection,Green
,27.50832,0,0,-0.07529452,-382.6,455.7,out of intersection,Green
,23.97097,0,0,-0.01329178,-391.9,462.4,out of intersection,Green
,21.00041,0,0,0,-400.6,467.8,out of intersection,Green
,18.82354,0,0,0,-407.3,472,out of intersection,Green
,16.54451,0,0,0,-414.2,476.3,out of intersection,Green
,14.07192,0,0,0,-420.1,479.9,out of intersection,Green
,12.93182,0,0,-0.1145445,-425,482.9,out of intersection,Green
,11.09732,0,0,-0.3891412,-429.8,485.2,out of intersection,Green
,9.893814,0,0,-0.4995011,-433.9,486,out of intersection,Green
