Fail Time,Speed,Brake,Gas,Steering,X-Position,Z-Position,Cosine Curves
,8.520754,0,0,-0.0444158,-206.3,240.4,0
,8.391654,0,0,-0.05241912,-206.5,240.1,0
,8.285592,0,0,-0.06309022,-206.7,239.7,0
,8.160036,0,0,-0.07394529,-206.9,239.3,0
,8.036349,0,0,-0.08697752,-207.1,239,0
,7.93471,0,0,-0.1078597,-207.4,238.3,0
,7.715426,0,0,-0.1404863,-207.6,237.9,0
,7.579025,0,0,-0.1682986,-207.8,237.6,0
,7.48288,0,0,-0.1889049,-208,237.2,0
,7.36899,0,0,-0.2050955,-208.1,236.9,0
,7.256917,0,0,-0.2232486,-208.3,236.5,0
,7.128362,0,0,-0.2579603,-208.5,236.1,0
,7.019979,0,0,-0.3006447,-208.7,235.6,0
,6.85991,0,0,-0.3203004,-208.8,235.3,0
,6.754996,0,0,-0.3389748,-208.9,234.9,0
,6.634918,0,0,-0.3546135,-209,234.6,0
,6.550544,0,0,-0.3658365,-209.1,234.2,0
,6.434114,0,0,-0.3669097,-209.2,233.9,0
,6.336154,0,0,-0.3726746,-209.3,233.5,0
,6.223938,0,0,-0.3913797,-209.4,233.2,0
,6.129323,0,0,-0.4066504,-209.5,232.9,0
,6.05132,0,0,-0.4159723,-209.5,232.6,0
,5.958972,0,0,-0.4225037,-209.6,232.3,0
,5.883275,0,3.529412,-0.4357812,-209.6,232,0
,5.793717,0,10.58824,-0.4553142,-209.7,231.8,0
,6.101305,0,12.15686,-0.4762271,-209.7,231.4,0
,7.374696,0,12.15686,-0.4954535,-209.8,231,0
,8.562257,0,13.72549,-0.5107549,-209.8,230.5,0
,9.72437,0,18.43137,-0.5262402,-209.8,230.1,0
,10.53597,0,21.56863,-0.5370647,-209.8,229.5,0
,11.19748,0,26.27451,-0.5389045,-209.8,229,0
,11.7406,0,30.19608,-0.5389045,-209.7,228.3,0
,12.50781,0,30.19608,-0.5389045,-209.7,227.8,0
,12.77388,0,17.64706,-0.5389045,-209.6,227.2,0
,13.53995,0,13.72549,-0.5389045,-209.4,226.5,0
,14.14841,0,13.72549,-0.5389045,-209.2,225.9,0
,14.38933,0,13.72549,-0.5389045,-209,225.2,0
,15.13923,0,13.72549,-0.5389045,-208.7,224.5,0
,15.71788,0,13.72549,-0.5368193,-208.3,223.7,0
,16.28818,0,13.72549,-0.513944,-208,223,0
,16.50766,0,12.94118,-0.4711983,-207.5,222.3,0
,17.07776,0,12.15686,-0.4139178,-206.9,221.4,0
,17.96399,0,12.15686,-0.3522217,-206.2,220.6,0
,18.51365,0,12.15686,-0.2627746,-205.7,220,0
,18.75698,0,11.37255,-0.1778351,-204.9,219.3,0
,19.31641,0,8.235294,-0.03331541,-203.8,218.2,0
,20.22952,0,1.176471,-0.01562224,-202.9,217.5,0
,20.38738,0,0,-0.01562224,-202.1,216.8,0
,21.25574,0,0,-0.01565291,-201.2,216,0
3,25.58323,0,0,0,-254.6,-328.9,0
,25.6128,0,0,0,-253.8,-327.7,0
,25.63971,0,0,0,-253.1,-326.6,0
,25.66245,0,0,0,-252.4,-325.4,0
,25.68664,0,0,0,-251.5,-324.1,0
,25.71387,0,0,0,-250.6,-322.7,0
,25.73822,0,0,0,-249.7,-321.4,0
,25.75669,0,0,0,-249,-320.2,0
,25.77641,0,0,0,-248.2,-319,0
,25.79397,0,0,0,-247.5,-317.9,0
,25.81311,0,0,0,-246.7,-316.7,0
,25.83124,0,0,0,-246,-315.6,0
,25.84362,0,0,-0.000351542,-245.1,-314.2,0
,25.84362,0,0,-0.007250955,-244.5,-313.2,0
,25.84625,0,0,-0.009980057,-243.7,-312.1,0
,25.65842,0,0.3921569,-0.01227986,-243.1,-311.1,0
,25.4843,0,8.235294,-0.01264783,-242.5,-310.1,0
,25.35209,0,18.43137,-0.01120662,-241.9,-309.2,0
,25.99099,0,18.43137,-0.001976738,-241.1,-308,0
,27.03258,0,0,0.000688847,-240.5,-306.9,0
,27.56669,0,0,0.007373611,-239.8,-305.9,0
